Continent,Country,count
Africa,Angola,1
Africa,Benin,1
Africa,Burkina Faso,1
Africa,Burundi,1
Africa,Cameroon,1
Africa,Cape Verde,1
Africa,Central African Republic,1
Africa,Chad,1
Africa,Congo-Brazzaville,1
Africa,Congo-Kinshasa,1
Africa,C̫te d'Ivoire,1
Africa,Djibouti,1
Africa,Egypt,1
Africa,Ethiopia,1
Africa,Gabon,1
Africa,Ghana,1
Africa,Guinea,1
Africa,Guinea-Bissau,1
Africa,Kenya,1
Africa,Liberia,1
Africa,Madagascar,1
Africa,Malawi,1
Africa,Mali,1
Africa,Mauritius,1
Africa,Morocco,1
Africa,Mozambique,1
Africa,Niger,1
Africa,Nigeria,1
Africa,Rwanda,1
Africa,Senegal,1
Africa,Sierra Leone,1
Africa,Somalia,1
Africa,South Africa,1
Africa,Sudan,1
Africa,Swaziland,1
Africa,Tanzania,1
Africa,Uganda,1
Africa,Zambia,1
Africa,Zimbabwe,1
Asia,Afghanistan,1
Asia,Bangladesh,1
Asia,Bhutan,1
Asia,Cambodia,1
Asia,China,1
Asia,India,1
Asia,Indonesia,1
Asia,Iran,1
Asia,Iraq,1
Asia,Japan,1
Asia,Laos,1
Asia,Lebanon,1
Asia,Malaysia,1
Asia,Myanmar,1
Asia,Nepal,1
Asia,Oman,1
Asia,Pakistan,1
Asia,Philippines,1
Asia,Singapore,1
Asia,Sri Lanka,1
Asia,Syria,1
Asia,Taiwan,1
Asia,Thailand,1
Asia,Vietnam,1
Asia,Yemen,1
Europe,Portugal,1
Europe,Spain,1
North America,Antigua and Barbuda,1
North America,Barbados,1
North America,Belize,1
North America,Costa Rica,1
North America,Cuba,1
North America,Dominica,1
North America,Dominican Republic,1
North America,El Salvador,1
North America,Grenada,1
North America,Guatemala,1
North America,Haiti,1
North America,Honduras,1
North America,Jamaica,1
North America,Mexico,1
North America,Nicaragua,1
North America,Panama,1
North America,Saint Kitts and Nevis,1
North America,Saint Lucia,1
North America,Saint Vincent and the Grenadines,1
North America,The Bahamas,1
North America,Trinidad and Tobago,1
North America,United States of America,1
Oceania,Australia,1
Oceania,Fiji,1
Oceania,Papua New Guinea,1
Oceania,Samoa,1
South America,Argentina,1
South America,Bolivia,1
South America,Brazil,1
South America,Colombia,1
South America,Ecuador,1
South America,Guyana,1
South America,Paraguay,1
South America,Peru,1
South America,Suriname,1
South America,Uruguay,1
South America,Venezuela,1
